text, id
شريط : [ رحيم و راحمة ] \nبمشاركة الرادود : #مهدي_سهوان   \n\nليلة 13 جمادى الأول - 1439 هـ\nذكرى استشهاد فاطمة الزهراء (ع) \nموكب عزاء مسجد فاطمة الزهراء (ع) \nمدينة الزهراء (ع) - البحرين\n\nالتسجيل الصوتي : \nحسين الجمري - مسجد فاطمة الزهراء (ع)\nالهندسة الصوتية : علي مبارك, 7187
شريط : [ حدثي يا فاطمة ]\nالرادود : #الشيخ_حسين_الأكرف\nذكرى إستشهاد فاطمة الزهراء (ع)\nليلة 13 جمادى الأول - 1423 هـ\nموكب عزاء مأتم الحاج عباس - المنامة, 7175
شريط : [ المجهولة قدرا ]\nالرادود : #الشيخ_حسين_الأكرف\nذكرى إستشهاد فاطمة الزهراء (ع) \nيوم 13 جمادى الأول عصراً  - 1430 هـ\nموكب عزاء الدراز - البحرين\n\nملاحظة : ( الفقرة الاولى ) غير مكتملة بسبب عطل في التسجيل \n\nالهندسة الصوتية : محسن الدقاق, 7169
شريط : [ أكتبوني بالعيون ]\nالرادود : #الشيخ_حسين_الأكرف \nذكرى إستشهاد فاطمة الزهراء (ع)\nيوم 13 جمادى الأول - 1422 هـ\nموكب عزاء الدراز - الدراز - البحرين, 7164
شريط : [ سكني روع النفوس ] \nالرادود : #الشيخ_حسين_الأكرف \nذكرى إستشهاد فاطمة الزهراء (ع)\nليلة 17 جمادى الأول - 1416 هـ\nمسجد فاطمة الزهراء (ع) - مدينة الزهراء - الدوار الرابع - البحرين, 7150
شريط : [ جهزوا نعشا من الاقصى لروح فاطم ] \nالرادود : #الشيخ_حسين_الأكرف ووقفات الرادود #مهدي_سهوان  \nذكرى إستشهاد فاطمة الزهراء (ع)\nليلة 13 جمادى الأول - 1422 هـ\nموكب عزاء مأتم بن سلوم - المنامة, 7143
شريط : [ لا ننسى أساها ] إنها فاطمة\nالرادود : #الشيخ_حسين_الأكرف \nذكرى إستشهاد فاطمة الزهراء (ع)\nليلة 13 جمادى الأول - 1428 هـ\nموكب عزاء مأتم الحاج عباس - المنامة, 7137
شريط : [ ماتت فاطمة ] \nالرادود : #مهدي_الخاطر\nذكرى استشهاد فاطمة الزهراء (ع)\nليلة 14 جمادى الأول 1445 هـ\n موكب عزاء واديان - سترة - البحرين\n\nالهندسة الصوتية : علي مبارك\n\nالفقرة الأولى - تروي الاخبار\nالفقرة الثانية - فاضت الروح\nالفقرة الثالثة - أيتامج يزهرا, 7130
شريط : [ علمينا الصبر يا زهراء ]\nمشترك الرادودين : #مهدي_سهوان و #علي_حمادي\n\nفي ذكرى استشهاد الزهراء (ع) \nليلة 14 جمادى الأول من عام 1433 هـ\nمسجد فاطمة الزهراء (ع) - مدينة الزهراء 4\n\nالإعادة ما بعد المشاركة في ماتم بن خميس اللتي ضمت علي حمادي و جعفر سهوان\n\nحمادي ميديا, 7095
شريط : [ علمينا الصبر يا زهراء ]\nمشترك الرادودين : #جعفر_سهوان و #علي_حمادي\n\nذكرى استشهاد فاطمة الزهراء (ع) \nيوم 13 جمادى الأول 1433 هـ عصراً\nموكب عزاء ماتم بن خميس - السنابس \n\nما قبل المشاركة في مسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع) حيث انها أعيدت مساءاً بأداء علي حمادي و مهدي سهوان\n\nحمادي ميديا, 7087
